Period,Period Label,Commodity,Commodity Label,Index Base 2015,Index Base 2015 Footnote,Index Base 2015 Missing value,"Growth rate, year-on-year","Growth rate, year-on-year Footnote","Growth rate, year-on-year Missing value",Growth rate (over previous period),Growth rate (over previous period) Footnote,Growth rate (over previous period) Missing value
2011M02,"Feb. 2011",IN0001.22,"All groups excl. fuels",163,,,37.41359,,,3.02111,,
2011M02,"Feb. 2011",IN0001.23,"All groups excl. precious metals",184.44,,,31.08742,,,5.23793,,
2011M02,"Feb. 2011",IN0001.24,"All groups excl. precious metals and fuels",179.36,,,39.77556,,,3.34774,,
2011M03,"Mar. 2011",IN0001.20,"All groups",184.92,,,33.69966,,,4.12162,,
2011M03,"Mar. 2011",IN0001.01,"All food",144.82,,,39.25,,,-3.31798,,
2011M03,"Mar. 2011",IN0001.02,"Food",135.21,,,33.39582,,,-4.9624,,
2011M03,"Mar. 2011",IN0001.03,"Tropical beverages",154.26,,,53.12686,,,3.44689,,
2011M03,"Mar. 2011",IN0001.04,"Vegetable oilseeds and oils",156.17,,,41.4071,,,-4.34277,,
2011M03,"Mar. 2011",IN0001.06,"Agricultural raw materials",192.4,,,42.82533,,,-4.20235,,
2011M03,"Mar. 2011",IN0001.07,"Minerals, ores and metals",163.03,,,25.89189,,,-1.00194,,
2011M03,"Mar. 2011",IN0001.08,"Minerals, ores and non-precious metals",201.27,,,20.0895,,,-5.41379,,
2011M03,"Mar. 2011",IN0001.09,"Precious metals",132.81,,,33.63856,,,4.84724,,
2011M03,"Mar. 2011",IN0001.10,"Fuels",200.57,,,34.70114,,,7.4866,,
2011M03,"Mar. 2011",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2011M03,"Mar. 2011",IN0001.05,"Tropical beverages and food",139.9,,,38.22745,,,-2.82023,,
2011M03,"Mar. 2011",IN0001.22,"All groups excl. fuels",159.54,,,31.69886,,,-2.1227,,
2011M03,"Mar. 2011",IN0001.23,"All groups excl. precious metals",191.92,,,33.70489,,,4.05552,,
2011M03,"Mar. 2011",IN0001.24,"All groups excl. precious metals and fuels",171.58,,,31.03712,,,-4.33764,,
2011M04,"Apr. 2011",IN0001.20,"All groups",194.84,,,35.21166,,,5.36448,,
2011M04,"Apr. 2011",IN0001.01,"All food",144.96,,,42.59296,,,0.09667,,
2011M04,"Apr. 2011",IN0001.02,"Food",134.53,,,38.20629,,,-0.50292,,
2011M04,"Apr. 2011",IN0001.03,"Tropical beverages",156.47,,,54.30966,,,1.43265,,
2011M04,"Apr. 2011",IN0001.04,"Vegetable oilseeds and oils",156.56,,,43.22569,,,0.24973,,
2011M04,"Apr. 2011",IN0001.06,"Agricultural raw materials",194.49,,,41.29313,,,1.08628,,
2011M04,"Apr. 2011",IN0001.07,"Minerals, ores and metals",169.15,,,20.29728,,,3.75391,,
2011M04,"Apr. 2011",IN0001.08,"Minerals, ores and non-precious metals",206.1,,,9.54026,,,2.39976,,
2011M04,"Apr. 2011",IN0001.09,"Precious metals",139.96,,,35.83075,,,5.38363,,
2011M04,"Apr. 2011",IN0001.10,"Fuels",214.35,,,38.49583,,,6.87042,,
2011M04,"Apr. 2011",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2011M04,"Apr. 2011",IN0001.05,"Tropical beverages and food",139.93,,,42.29205,,,0.02144,,
2011M04,"Apr. 2011",IN0001.22,"All groups excl. fuels",163.2,,,28.72693,,,2.2941,,
2011M04,"Apr. 2011",IN0001.23,"All groups excl. precious metals",202.21,,,35.15808,,,5.36161,,
2011M04,"Apr. 2011",IN0001.24,"All groups excl. precious metals and fuels",173.66,,,26.31656,,,1.21226,,
2011M05,"May  2011",IN0001.20,"All groups",185.89,,,36.19313,,,-4.59351,,
2011M05,"May  2011",IN0001.01,"All food",141.34,,,40.59485,,,-2.49724,,
2011M05,"May  2011",IN0001.02,"Food",128.52,,,33.52727,,,-4.46741,,
2011M05,"May  2011",IN0001.03,"Tropical beverages",153.26,,,53.67492,,,-2.05151,,
2011M05,"May  2011",IN0001.04,"Vegetable oilseeds and oils",156.86,,,44.66476,,,0.19162,,
2011M05,"May  2011",IN0001.06,"Agricultural raw materials",179.59,,,37.51149,,,-7.66106,,
2011M05,"May  2011",IN0001.07,"Minerals, ores and metals",165.35,,,20.54385,,,-2.24653,,
2011M05,"May  2011",IN0001.08,"Minerals, ores and non-precious metals",197.49,,,14.70639,,,-4.17758,,
2011M05,"May  2011",IN0001.09,"Precious metals",139.96,,,27.80568,,,0,,
2011M05,"May  2011",IN0001.10,"Fuels",202.86,,,40.56264,,,-5.36039,,
2011M05,"May  2011",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2011M05,"May  2011",IN0001.05,"Tropical beverages and food",134.61,,,38.616,,,-3.8019,,
2011M05,"May  2011",IN0001.22,"All groups excl. fuels",158.38,,,27.93215,,,-2.95343,,
2011M05,"May  2011",IN0001.23,"All groups excl. precious metals",192.07,,,37.07536,,,-5.01459,,
2011M05,"May  2011",IN0001.24,"All groups excl. precious metals and fuels",166.68,,,27.97912,,,-4.01935,,
2011M06,"June 2011",IN0001.20,"All groups",185.38,,,37.08497,,,-0.27436,,
2011M06,"June 2011",IN0001.01,"All food",142.59,,,39.04437,,,0.88439,,
2011M06,"June 2011",IN0001.02,"Food",134.09,,,36.78466,,,4.33396,,
2011M06,"June 2011",IN0001.03,"Tropical beverages",146.97,,,36.66543,,,-4.10414,,
2011M06,"June 2011",IN0001.04,"Vegetable oilseeds and oils",154.88,,,43.96728,,,-1.26227,,
2011M06,"June 2011",IN0001.06,"Agricultural raw materials",177.18,,,34.04448,,,-1.34195,,
2011M06,"June 2011",IN0001.07,"Minerals, ores and metals",164.11,,,25.74515,,,-0.74992,,
2011M06,"June 2011",IN0001.08,"Minerals, ores and non-precious metals",193.75,,,22.76644,,,-1.89377,,
2011M06,"June 2011",IN0001.09,"Precious metals",140.7,,,29.15366,,,0.52872,,
2011M06,"June 2011",IN0001.10,"Fuels",202.34,,,40.48462,,,-0.25633,,
2011M06,"June 2011",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2011M06,"June 2011",IN0001.05,"Tropical beverages and food",137.26,,,36.75401,,,1.96865,,
2011M06,"June 2011",IN0001.22,"All groups excl. fuels",157.89,,,30.53075,,,-0.30938,,
2011M06,"June 2011",IN0001.23,"All groups excl. precious metals",191.39,,,37.9288,,,-0.35404,,
2011M06,"June 2011",IN0001.24,"All groups excl. precious metals and fuels",165.64,,,31.07541,,,-0.62395,,
2011M07,"Jul. 2011",IN0001.20,"All groups",189.63,,,41.23036,,,2.29259,,
2011M07,"Jul. 2011",IN0001.01,"All food",144.52,,,34.27483,,,1.35353,,
2011M07,"Jul. 2011",IN0001.02,"Food",138.85,,,35.00243,,,3.54985,,
2011M07,"Jul. 2011",IN0001.03,"Tropical beverages",145.61,,,29.71938,,,-0.92536,,
2011M07,"Jul. 2011",IN0001.04,"Vegetable oilseeds and oils",153.76,,,35.67458,,,-0.72314,,
2011M07,"Jul. 2011",IN0001.06,"Agricultural raw materials",175.22,,,33.13578,,,-1.10622,,
2011M07,"Jul. 2011",IN0001.07,"Minerals, ores and metals",169.71,,,35.05491,,,3.41235,,
2011M07,"Jul. 2011",IN0001.08,"Minerals, ores and non-precious metals",200.71,,,32.77105,,,3.59226,,
2011M07,"Jul. 2011",IN0001.09,"Precious metals",145.22,,,37.63624,,,3.21251,,
2011M07,"Jul. 2011",IN0001.10,"Fuels",206.98,,,44.66033,,,2.29317,,
2011M07,"Jul. 2011",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2011M07,"Jul. 2011",IN0001.05,"Tropical beverages and food",140.52,,,33.61225,,,2.37505,,
2011M07,"Jul. 2011",IN0001.22,"All groups excl. fuels",161.49,,,34.60865,,,2.28007,,
2011M07,"Jul. 2011",IN0001.23,"All groups excl. precious metals",195.59,,,41.59849,,,2.19447,,
2011M07,"Jul. 2011",IN0001.24,"All groups excl. precious metals and fuels",168.81,,,33.45719,,,1.91379,,
2011M08,"Aug. 2011",IN0001.20,"All groups",184.84,,,33.86443,,,-2.52597,,
2011M08,"Aug. 2011",IN0001.01,"All food",144.75,,,28.06335,,,0.15915,,
2011M08,"Aug. 2011",IN0001.02,"Food",139.07,,,29.49995,,,0.15844,,
2011M08,"Aug. 2011",IN0001.03,"Tropical beverages",147.42,,,28.41463,,,1.24305,,
2011M08,"Aug. 2011",IN0001.04,"Vegetable oilseeds and oils",153.11,,,25.68544,,,-0.42274,,
2011M08,"Aug. 2011",IN0001.06,"Agricultural raw materials",174.91,,,28.07352,,,-0.17692,,
2011M08,"Aug. 2011",IN0001.07,"Minerals, ores and metals",175.53,,,31.3061,,,3.42938,,
2011M08,"Aug. 2011",IN0001.08,"Minerals, ores and non-precious metals",194.84,,,16.87361,,,-2.92462,,
2011M08,"Aug. 2011",IN0001.09,"Precious metals",160.28,,,49.00065,,,10.37047,,
2011M08,"Aug. 2011",IN0001.10,"Fuels",197.21,,,35.96001,,,-4.72026,,
2011M08,"Aug. 2011",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2011M08,"Aug. 2011",IN0001.05,"Tropical beverages and food",141.13,,,29.21626,,,0.4341,,
2011M08,"Aug. 2011",IN0001.22,"All groups excl. fuels",164.78,,,29.97318,,,2.03728,,
2011M08,"Aug. 2011",IN0001.23,"All groups excl. precious metals",188.13,,,32.31819,,,-3.8141,,
2011M08,"Aug. 2011",IN0001.24,"All groups excl. precious metals and fuels",166.8,,,23.16326,,,-1.19069,,
2011M09,"Sep. 2011",IN0001.20,"All groups",184.24,,,31.6188,,,-0.32461,,
2011M09,"Sep. 2011",IN0001.01,"All food",140.73,,,17.51983,,,-2.7772,,
2011M09,"Sep. 2011",IN0001.02,"Food",136.02,,,15.742,,,-2.19314,,
2011M09,"Sep. 2011",IN0001.03,"Tropical beverages",144.49,,,25.17543,,,-1.98752,,
2011M09,"Sep. 2011",IN0001.04,"Vegetable oilseeds and oils",146.79,,,16.40761,,,-4.12775,,
2011M09,"Sep. 2011",IN0001.06,"Agricultural raw materials",175.35,,,22.77692,,,0.25156,,
2011M09,"Sep. 2011",IN0001.07,"Minerals, ores and metals",173.08,,,25.48394,,,-1.39577,,
2011M09,"Sep. 2011",IN0001.08,"Minerals, ores and non-precious metals",189.47,,,11.7949,,,-2.75611,,
2011M09,"Sep. 2011",IN0001.09,"Precious metals",160.13,,,41.70796,,,-0.09359,,
2011M09,"Sep. 2011",IN0001.10,"Fuels",197.93,,,36.65424,,,0.36509,,
2011M09,"Sep. 2011",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2011M09,"Sep. 2011",IN0001.05,"Tropical beverages and food",138.11,,,18.03265,,,-2.13987,,
2011M09,"Sep. 2011",IN0001.22,"All groups excl. fuels",162.06,,,22.68908,,,-1.65069,,
2011M09,"Sep. 2011",IN0001.23,"All groups excl. precious metals",187.48,,,30.5571,,,-0.34551,,
2011M09,"Sep. 2011",IN0001.24,"All groups excl. precious metals and fuels",162.93,,,15.81604,,,-2.32014,,
2011M10,"Oct. 2011",IN0001.20,"All groups",177.54,,,21.0555,,,-3.63656,,
2011M10,"Oct. 2011",IN0001.01,"All food",133.58,,,6.69329,,,-5.08065,,
2011M10,"Oct. 2011",IN0001.02,"Food",132.35,,,7.85592,,,-2.69813,,
2011M10,"Oct. 2011",IN0001.03,"Tropical beverages",133.83,,,16.46506,,,-7.37767,,
2011M10,"Oct. 2011",IN0001.04,"Vegetable oilseeds and oils",135.57,,,0.12555,,,-7.64357,,
2011M10,"Oct. 2011",IN0001.06,"Agricultural raw materials",165.54,,,6.6555,,,-5.59453,,
2011M10,"Oct. 2011",IN0001.07,"Minerals, ores and metals",156.57,,,6.86643,,,-9.53894,,
2011M10,"Oct. 2011",IN0001.08,"Minerals, ores and non-precious metals",167.1,,,-7.08407,,,-11.80662,,
2011M10,"Oct. 2011",IN0001.09,"Precious metals",148.26,,,23.36495,,,-7.41273,,
2011M10,"Oct. 2011",IN0001.10,"Fuels",194.87,,,29.22414,,,-1.546,,
2011M10,"Oct. 2011",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2011M10,"Oct. 2011",IN0001.05,"Tropical beverages and food",132.72,,,9.88574,,,-3.90269,,
2011M10,"Oct. 2011",IN0001.22,"All groups excl. fuels",149.45,,,6.78814,,,-7.78107,,
2011M10,"Oct. 2011",IN0001.23,"All groups excl. precious metals",181.48,,,20.80948,,,-3.20034,,
2011M10,"Oct. 2011",IN0001.24,"All groups excl. precious metals and fuels",149.99,,,0.76587,,,-7.94206,,
2011M11,"Nov. 2011",IN0001.20,"All groups",179.13,,,17.43919,,,0.89557,,
2011M11,"Nov. 2011",IN0001.01,"All food",132.97,,,1.23335,,,-0.45666,,
2011M11,"Nov. 2011",IN0001.02,"Food",130.81,,,2.41134,,,-1.16358,,
2011M11,"Nov. 2011",IN0001.03,"Tropical beverages",133.48,,,10.34141,,,-0.26153,,
2011M11,"Nov. 2011",IN0001.04,"Vegetable oilseeds and oils",136.44,,,-4.9596,,,0.64173,,
2011M11,"Nov. 2011",IN0001.06,"Agricultural raw materials",151.69,,,-9.08601,,,-8.36656,,
2011M11,"Nov. 2011",IN0001.07,"Minerals, ores and metals",157.22,,,4.26421,,,0.41515,,
2011M11,"Nov. 2011",IN0001.08,"Minerals, ores and non-precious metals",160.34,,,-13.27817,,,-4.04548,,
2011M11,"Nov. 2011",IN0001.09,"Precious metals",154.74,,,24.95155,,,4.3707,,
2011M11,"Nov. 2011",IN0001.10,"Fuels",198.18,,,26.37419,,,1.69857,,
2011M11,"Nov. 2011",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2011M11,"Nov. 2011",IN0001.05,"Tropical beverages and food",131.47,,,4.28333,,,-0.94183,,
2011M11,"Nov. 2011",IN0001.22,"All groups excl. fuels",148.26,,,1.83392,,,-0.79625,,
2011M11,"Nov. 2011",IN0001.23,"All groups excl. precious metals",182.41,,,16.63789,,,0.51245,,
2011M11,"Nov. 2011",IN0001.24,"All groups excl. precious metals and fuels",145.33,,,-6.46801,,,-3.10687,,
2011M12,"Dec. 2011",IN0001.20,"All groups",175.33,,,8.26181,,,-2.12136,,
2011M12,"Dec. 2011",IN0001.01,"All food",130.66,,,-6.10133,,,-1.73723,,
2011M12,"Dec. 2011",IN0001.02,"Food",127.28,,,-5.5436,,,-2.69857,,
2011M12,"Dec. 2011",IN0001.03,"Tropical beverages",129.4,,,2.33294,,,-3.05664,,
2011M12,"Dec. 2011",IN0001.04,"Vegetable oilseeds and oils",137.25,,,-10.8882,,,0.59367,,
2011M12,"Dec. 2011",IN0001.06,"Agricultural raw materials",148.95,,,-16.06086,,,-1.80632,,
2011M12,"Dec. 2011",IN0001.07,"Minerals, ores and metals",152.65,,,-2.84496,,,-2.90675,,
2011M12,"Dec. 2011",IN0001.08,"Minerals, ores and non-precious metals",160.96,,,-17.65488,,,0.38668,,
2011M12,"Dec. 2011",IN0001.09,"Precious metals",146.08,,,15.18688,,,-5.59648,,
2011M12,"Dec. 2011",IN0001.10,"Fuels",194.25,,,15.92862,,,-1.98305,,
2011M12,"Dec. 2011",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2011M12,"Dec. 2011",IN0001.05,"Tropical beverages and food",127.8,,,-3.6998,,,-2.79151,,
2011M12,"Dec. 2011",IN0001.22,"All groups excl. fuels",144.65,,,-5.35854,,,-2.43491,,
2011M12,"Dec. 2011",IN0001.23,"All groups excl. precious metals",179.26,,,7.55385,,,-1.72688,,
2011M12,"Dec. 2011",IN0001.24,"All groups excl. precious metals and fuels",144,,,-12.49392,,,-0.91516,,
2012M01,"Jan. 2012",IN0001.20,"All groups",178.37,,,5.41962,,,1.73387,,
2012M01,"Jan. 2012",IN0001.01,"All food",131.65,,,-9.69888,,,0.75769,,
2012M01,"Jan. 2012",IN0001.02,"Food",127.31,,,-8.5351,,,0.02357,,
2012M01,"Jan. 2012",IN0001.03,"Tropical beverages",128.91,,,-6.55987,,,-0.37867,,
2012M01,"Jan. 2012",IN0001.04,"Vegetable oilseeds and oils",140.75,,,-12.96686,,,2.55009,,
2012M01,"Jan. 2012",IN0001.06,"Agricultural raw materials",153.36,,,-20.3697,,,2.96073,,
2012M01,"Jan. 2012",IN0001.07,"Minerals, ores and metals",156.45,,,-2.22486,,,2.48935,,
2012M01,"Jan. 2012",IN0001.08,"Minerals, ores and non-precious metals",168.53,,,-17.94635,,,4.70303,,
2012M01,"Jan. 2012",IN0001.09,"Precious metals",146.91,,,18.33266,,,0.56818,,
2012M01,"Jan. 2012",IN0001.10,"Fuels",197.4,,,12.17184,,,1.62162,,
2012M01,"Jan. 2012",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2012M01,"Jan. 2012",IN0001.05,"Tropical beverages and food",127.7,,,-8.05674,,,-0.07825,,
2012M01,"Jan. 2012",IN0001.22,"All groups excl. fuels",147.53,,,-6.75642,,,1.99101,,
2012M01,"Jan. 2012",IN0001.23,"All groups excl. precious metals",182.6,,,4.18806,,,1.86322,,
2012M01,"Jan. 2012",IN0001.24,"All groups excl. precious metals and fuels",147.81,,,-14.83146,,,2.64583,,
2012M02,"Feb. 2012",IN0001.20,"All groups",186.23,,,4.85923,,,4.40657,,
2012M02,"Feb. 2012",IN0001.01,"All food",133.52,,,-10.86187,,,1.42043,,
2012M02,"Feb. 2012",IN0001.02,"Food",129.6,,,-8.9056,,,1.79876,,
2012M02,"Feb. 2012",IN0001.03,"Tropical beverages",125.26,,,-16.00054,,,-2.83143,,
2012M02,"Feb. 2012",IN0001.04,"Vegetable oilseeds and oils",145.02,,,-11.17236,,,3.03375,,
2012M02,"Feb. 2012",IN0001.06,"Agricultural raw materials",157.92,,,-21.37024,,,2.9734,,
2012M02,"Feb. 2012",IN0001.07,"Minerals, ores and metals",162.77,,,-1.15983,,,4.03963,,
2012M02,"Feb. 2012",IN0001.08,"Minerals, ores and non-precious metals",171.73,,,-19.29602,,,1.89877,,
2012M02,"Feb. 2012",IN0001.09,"Precious metals",155.69,,,22.90992,,,5.97645,,
2012M02,"Feb. 2012",IN0001.10,"Fuels",207.26,,,11.07181,,,4.99493,,
2012M02,"Feb. 2012",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2012M02,"Feb. 2012",IN0001.05,"Tropical beverages and food",128.53,,,-10.71826,,,0.64996,,
2012M02,"Feb. 2012",IN0001.22,"All groups excl. fuels",152.13,,,-6.66871,,,3.11801,,
2012M02,"Feb. 2012",IN0001.23,"All groups excl. precious metals",190.33,,,3.19345,,,4.2333,,
2012M02,"Feb. 2012",IN0001.24,"All groups excl. precious metals and fuels",150.53,,,-16.07382,,,1.8402,,
2012M03,"Mar. 2012",IN0001.20,"All groups",190.92,,,3.24465,,,2.51839,,
2012M03,"Mar. 2012",IN0001.01,"All food",134.38,,,-7.20895,,,0.6441,,
2012M03,"Mar. 2012",IN0001.02,"Food",130.53,,,-3.46128,,,0.71759,,
2012M03,"Mar. 2012",IN0001.03,"Tropical beverages",117.47,,,-23.84935,,,-6.21906,,
2012M03,"Mar. 2012",IN0001.04,"Vegetable oilseeds and oils",150.7,,,-3.50259,,,3.9167,,
2012M03,"Mar. 2012",IN0001.06,"Agricultural raw materials",157.77,,,-17.99896,,,-0.09498,,
2012M03,"Mar. 2012",IN0001.07,"Minerals, ores and metals",159.54,,,-2.14071,,,-1.9844,,
2012M03,"Mar. 2012",IN0001.08,"Minerals, ores and non-precious metals",171.8,,,-14.64202,,,0.04076,,
2012M03,"Mar. 2012",IN0001.09,"Precious metals",149.84,,,12.82283,,,-3.75747,,
2012M03,"Mar. 2012",IN0001.10,"Fuels",215.78,,,7.58339,,,4.11078,,
2012M03,"Mar. 2012",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2012M03,"Mar. 2012",IN0001.05,"Tropical beverages and food",127.31,,,-8.99929,,,-0.94919,,
2012M03,"Mar. 2012",IN0001.22,"All groups excl. fuels",150.62,,,-5.59107,,,-0.99257,,
2012M03,"Mar. 2012",IN0001.23,"All groups excl. precious metals",196.44,,,2.35515,,,3.21021,,
2012M03,"Mar. 2012",IN0001.24,"All groups excl. precious metals and fuels",150.97,,,-12.01189,,,0.2923,,
2012M04,"Apr. 2012",IN0001.20,"All groups",185.08,,,-5.00924,,,-3.05887,,
2012M04,"Apr. 2012",IN0001.01,"All food",134.33,,,-7.33306,,,-0.03721,,
2012M04,"Apr. 2012",IN0001.02,"Food",127.49,,,-5.23303,,,-2.32897,,
2012M04,"Apr. 2012",IN0001.03,"Tropical beverages",113.33,,,-27.57078,,,-3.5243,,
2012M04,"Apr. 2012",IN0001.04,"Vegetable oilseeds and oils",158.17,,,1.02836,,,4.95687,,
2012M04,"Apr. 2012",IN0001.06,"Agricultural raw materials",155.32,,,-20.13985,,,-1.55289,,
2012M04,"Apr. 2012",IN0001.07,"Minerals, ores and metals",157.17,,,-7.08247,,,-1.48552,,
2012M04,"Apr. 2012",IN0001.08,"Minerals, ores and non-precious metals",169.97,,,-17.53033,,,-1.06519,,
2012M04,"Apr. 2012",IN0001.09,"Precious metals",147.06,,,5.07288,,,-1.85531,,
2012M04,"Apr. 2012",IN0001.10,"Fuels",207.3,,,-3.28901,,,-3.92993,,
2012M04,"Apr. 2012",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2012M04,"Apr. 2012",IN0001.05,"Tropical beverages and food",124,,,-11.38426,,,-2.59995,,
2012M04,"Apr. 2012",IN0001.22,"All groups excl. fuels",149.06,,,-8.66422,,,-1.03572,,
2012M04,"Apr. 2012",IN0001.23,"All groups excl. precious metals",190.19,,,-5.94432,,,-3.18163,,
2012M04,"Apr. 2012",IN0001.24,"All groups excl. precious metals and fuels",149.95,,,-13.65312,,,-0.67563,,
2012M05,"May  2012",IN0001.20,"All groups",174.55,,,-6.10038,,,-5.68943,,
2012M05,"May  2012",IN0001.01,"All food",131.17,,,-7.19542,,,-2.35242,,
2012M05,"May  2012",IN0001.02,"Food",125.64,,,-2.2409,,,-1.45109,,
2012M05,"May  2012",IN0001.03,"Tropical beverages",111.69,,,-27.12384,,,-1.4471,,
2012M05,"May  2012",IN0001.04,"Vegetable oilseeds and oils",151.88,,,-3.17481,,,-3.97673,,
2012M05,"May  2012",IN0001.06,"Agricultural raw materials",148.14,,,-17.51211,,,-4.62271,,
2012M05,"May  2012",IN0001.07,"Minerals, ores and metals",149.59,,,-9.5313,,,-4.8228,,
2012M05,"May  2012",IN0001.08,"Minerals, ores and non-precious metals",161.27,,,-18.34017,,,-5.11855,,
2012M05,"May  2012",IN0001.09,"Precious metals",140.36,,,0.2858,,,-4.55596,,
2012M05,"May  2012",IN0001.10,"Fuels",193.98,,,-4.3774,,,-6.42547,,
2012M05,"May  2012",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2012M05,"May  2012",IN0001.05,"Tropical beverages and food",122.2,,,-9.21923,,,-1.45161,,
2012M05,"May  2012",IN0001.22,"All groups excl. fuels",143.05,,,-9.67925,,,-4.03193,,
2012M05,"May  2012",IN0001.23,"All groups excl. precious metals",179.14,,,-6.73192,,,-5.80998,,
2012M05,"May  2012",IN0001.24,"All groups excl. precious metals and fuels",144.26,,,-13.45092,,,-3.7946,,
2012M06,"June 2012",IN0001.20,"All groups",160.35,,,-13.502,,,-8.1352,,
2012M06,"June 2012",IN0001.01,"All food",128.04,,,-10.20408,,,-2.38622,,
2012M06,"June 2012",IN0001.02,"Food",124.26,,,-7.3309,,,-1.09838,,
2012M06,"June 2012",IN0001.03,"Tropical beverages",104.54,,,-28.86984,,,-6.40165,,
2012M06,"June 2012",IN0001.04,"Vegetable oilseeds and oils",148,,,-4.44215,,,-2.55465,,
2012M06,"June 2012",IN0001.06,"Agricultural raw materials",136.88,,,-22.74523,,,-7.60092,,
2012M06,"June 2012",IN0001.07,"Minerals, ores and metals",147.68,,,-10.01158,,,-1.27682,,
2012M06,"June 2012",IN0001.08,"Minerals, ores and non-precious metals",156.42,,,-19.2671,,,-3.00738,,
2012M06,"June 2012",IN0001.09,"Precious metals",140.77,,,0.04975,,,0.29211,,
2012M06,"June 2012",IN0001.10,"Fuels",173.02,,,-14.49046,,,-10.80524,,
2012M06,"June 2012",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2012M06,"June 2012",IN0001.05,"Tropical beverages and food",119.4,,,-13.0118,,,-2.29133,,
2012M06,"June 2012",IN0001.22,"All groups excl. fuels",139.81,,,-11.45101,,,-2.26494,,
2012M06,"June 2012",IN0001.23,"All groups excl. precious metals",162.98,,,-14.84404,,,-9.02088,,
2012M06,"June 2012",IN0001.24,"All groups excl. precious metals and fuels",139.38,,,-15.85366,,,-3.38278,,
2012M07,"Jul. 2012",IN0001.20,"All groups",167.57,,,-11.63318,,,4.50265,,
2012M07,"Jul. 2012",IN0001.01,"All food",138.81,,,-3.95101,,,8.41143,,
2012M07,"Jul. 2012",IN0001.02,"Food",132.5,,,-4.57328,,,6.63126,,
2012M07,"Jul. 2012",IN0001.03,"Tropical beverages",113,,,-22.39544,,,8.0926,,
2012M07,"Jul. 2012",IN0001.04,"Vegetable oilseeds and oils",164.47,,,6.9654,,,11.12838,,
2012M07,"Jul. 2012",IN0001.06,"Agricultural raw materials",136.94,,,-21.84682,,,0.04383,,
2012M07,"Jul. 2012",IN0001.07,"Minerals, ores and metals",146.31,,,-13.78823,,,-0.92768,,
2012M07,"Jul. 2012",IN0001.08,"Minerals, ores and non-precious metals",154.13,,,-23.20761,,,-1.46401,,
2012M07,"Jul. 2012",IN0001.09,"Precious metals",140.13,,,-3.50503,,,-0.45464,,
2012M07,"Jul. 2012",IN0001.10,"Fuels",182.85,,,-11.65813,,,5.68142,,
2012M07,"Jul. 2012",IN0001.31,"Selected groups",,,"Not available or not separately reported",,,"Not available or not separately reported",,,"Not available or not separately reported"
2012M07,"Jul. 2012",IN0001.05,"Tropical beverages and food",127.69,,,-9.13037,,,6.94305,,
2012M07,"Jul. 2012",IN0001.22,"All groups excl. fuels",142.8,,,-11.57347,,,2.13862,,
2012M07,"Jul. 2012",IN0001.23,"All groups excl. precious metals",171.25,,,-12.4444,,,5.07424,,
2012M07,"Jul. 2012",IN0001.24,"All groups excl. precious metals and fuels",144,,,-14.697,,,3.31468,,
2012M08,"Aug. 2012",IN0001.20,"All groups",175.05,,,-5.29647,,,4.46381,,
2012M08,"Aug. 2012",IN0001.01,"All food",136.75,,,-5.52677,,,-1.48404,,
2012M08,"Aug. 2012",IN0001.02,"Food",128.96,,,-7.26972,,,-2.6717,,
2012M08,"Aug. 2012",IN0001.03,"Tropical beverages",109.52,,,-25.70886,,,-3.07965,,
2012M08,"Aug. 2012",IN0001.04,"Vegetable oilseeds and oils",165.8,,,8.28816,,,0.80866,,
2012M08,"Aug. 2012",IN0001.06,"Agricultural raw materials",131.18,,,-25.00143,,,-4.20622,,
2012M08,"Aug. 2012",IN0001.07,"Minerals, ores and metals",143.17,,,-18.4356,,,-2.14613,,
